,species,huc8,day,month,date,decimalLatitude,decimalLongitude,status
40,molitrix,8040207,14,6,1988-6-14,32.328192,-92.088432,established
41,molitrix,8050001,14,6,1988-6-14,32.21941,-91.9775,established
42,molitrix,8080101,14,6,1988-6-14,0.0,0.0,established
43,molitrix,8050001,14,6,1988-6-14,32.526951,-91.904798,established
44,molitrix,8050001,20,10,1988-10-20,31.887251,-91.788626,established
45,molitrix,8050001,20,10,1988-10-20,31.888198,-91.779206,established
46,molitrix,11140207,20,10,1988-10-20,31.816605,-93.071022,established
47,molitrix,8040206,20,10,1988-10-20,32.565046,-92.659275,established
48,molitrix,0,20,11,1983-11-20,31.07303,-92.00718,established
49,molitrix,8030100,20,11,1989-11-20,32.946454,-91.09005,established
50,molitrix,8040207,31,8,1988-8-31,32.356528,-92.043049,established
51,molitrix,8040304,31,8,1989-8-31,31.807844,-93.222975,established
52,molitrix,8050003,31,8,1988-8-31,31.515191,-91.778069,established
53,molitrix,8040300,31,8,1998-8-31,31.751121,-92.236793,established
54,molitrix,8060100,31,8,1988-8-31,31.149651,-91.61499,established
55,molitrix,8030100,31,8,1988-8-31,32.946454,-91.09005,established
56,molitrix,0,31,8,1991-8-31,38.3675,-92.47724,established
57,molitrix,7140107,31,8,1998-8-31,37.249324,-89.519606,established
58,molitrix,10000000,31,8,2000-8-31,41.5271,-99.81059,established
59,molitrix,8030100,15,9,1988-9-15,33.498461,-91.165237,established
60,molitrix,7140105,13,7,2001-7-13,37.117151,-89.405858,established
61,molitrix,7140107,3,10,2001-10-3,37.2427864,-89.527617,established
62,molitrix,7130003,20,10,2000-10-20,40.62756,-89.62937,established
63,molitrix,7130003,11,10,2000-10-11,40.62756,-89.62937,established
64,molitrix,7130003,18,10,2000-10-18,40.62756,-89.62937,established
65,molitrix,7130003,25,10,2000-10-25,40.62756,-89.62937,established
66,molitrix,7130003,26,6,2001-6-26,40.62756,-89.62937,established
67,molitrix,7130003,4,10,2001-10-4,40.62756,-89.62937,established
68,molitrix,10170101,4,9,2003-9-4,42.851303,-97.473621,unknown
69,molitrix,8020302,4,9,2003-9-4,34.702671,-91.325312,established
70,molitrix,10200202,19,9,2003-9-19,41.714859,-96.695759,unknown
71,molitrix,10160011,20,5,2003-5-20,42.8747,-97.2826,unknown
72,molitrix,7080104,20,1,2004-1-20,40.888601,-91.025848,established
73,molitrix,7080104,3,9,2003-9-3,40.386305,-91.389771,established
74,molitrix,7100009,24,6,2003-6-24,40.724624,-91.964321,unknown
75,molitrix,7100009,28,7,2003-7-28,41.020837,-92.424717,unknown
76,molitrix,7080104,28,7,1999-7-28,40.401209,-91.361274,established
77,molitrix,7110001,28,7,1999-7-28,40.146995,-91.507874,established
78,molitrix,7080104,28,7,1999-7-28,40.401209,-91.361274,established
79,molitrix,7080104,28,7,1999-7-28,40.401601,-91.368484,established
80,molitrix,7110004,28,7,1999-7-28,39.45104,-91.036491,established
81,molitrix,7110004,28,7,1999-7-28,39.013315,-90.695229,established
82,molitrix,7110009,28,7,1999-7-28,38.880343,-90.169601,established
83,molitrix,7110009,28,7,1999-7-28,38.870186,-90.164108,established
84,molitrix,7140101,28,7,1999-7-28,38.753012,-90.17561,established
85,molitrix,7140101,28,7,1999-7-28,38.748059,-90.185909,established
86,molitrix,7140105,28,7,1999-7-28,37.941219,-89.894085,established
87,molitrix,7140105,28,7,1999-7-28,36.998988,-89.19714,established
88,molitrix,7100009,28,8,2003-8-28,40.732169,-91.95694,unknown
89,molitrix,7100009,28,8,2003-8-28,41.023233,-92.426863,unknown
90,molitrix,10300103,28,7,2003-7-28,38.979161,-92.852583,established
91,molitrix,10300102,28,7,2003-7-28,38.708554,-92.343178,established
92,molitrix,5140203,28,6,1999-6-28,37.1617698669,-88.4214477539,unknown
93,molitrix,5140204,25,9,2000-9-25,37.6975,-88.2658,established
94,molitrix,7140106,7,9,2000-9-7,37.6254,-89.4278,established
95,molitrix,8060100,3,8,1998-8-3,31.0781,-91.5994,established
96,molitrix,5140102,3,8,1999-8-3,37.947751,-85.876393,unknown
97,molitrix,7130001,3,8,1999-8-3,41.322685,-88.98694,established
98,molitrix,8010100,12,2,2004-2-12,37.052095,-89.093714,established
99,molitrix,6040005,12,2,2004-2-12,37.007488,-88.257294,established
100,molitrix,5130205,12,2,2004-2-12,36.948794,-88.027954,established
101,molitrix,8010100,12,2,2004-2-12,37.050245,-89.093628,established
102,molitrix,8010100,12,2,2004-2-12,37.043395,-89.099121,established
103,molitrix,8010100,12,2,2004-2-12,37.010641,-89.116287,established
104,molitrix,8010100,12,2,2004-2-12,37.049903,-89.093199,established
105,molitrix,11110207,12,2,1981-2-12,34.267857,-91.913681,established
106,molitrix,8020402,12,2,1981-2-12,34.519358,-91.772318,established
107,molitrix,8020402,12,2,1981-2-12,34.539068,-91.687646,established
108,molitrix,8020402,12,2,1981-2-12,34.0809336,-91.443177,established
109,molitrix,8020401,12,2,1981-2-12,33.980378,-91.306515,established
110,molitrix,8020301,12,2,1981-2-12,34.984862,-91.492424,established
111,molitrix,8040000,12,2,1981-2-12,33.532953,-92.769156,established
112,molitrix,10220003,16,9,2003-9-16,41.7257,-96.7147,unknown
113,molitrix,7110009,15,6,1998-6-15,38.924895,-90.254745,established
114,molitrix,7110009,15,6,1998-6-15,38.910003,-90.238609,established
115,molitrix,7110009,15,6,2000-6-15,38.924895,-90.254745,established
116,molitrix,7110009,15,6,2000-6-15,38.910003,-90.238609,established
117,molitrix,7130011,15,6,2000-6-15,39.96278,-90.516014,established
118,molitrix,7130003,15,6,2000-6-15,40.166019,-90.202045,established
119,molitrix,7130011,16,6,2004-6-16,39.96278,-90.516014,established
120,molitrix,7130003,16,6,2004-6-16,40.166019,-90.202045,established
121,molitrix,8030206,16,10,2003-10-16,32.927743,-90.411987,established
122,molitrix,8020100,2,8,2000-8-2,34.6257,-90.5795,established
123,molitrix,8020100,25,8,2001-8-25,33.8307,-91.0563,established
124,molitrix,8030100,7,8,2002-8-7,32.56771,-91.05879,established
125,molitrix,10170203,26,7,2004-7-26,43.298854,-96.577849,unknown
126,molitrix,7140106,15,8,1994-8-15,37.625449,-89.427853,established
127,molitrix,6040006,10,1,1995-1-10,37.022017,-88.279953,established
128,molitrix,7140108,22,5,1996-5-22,37.107367,-89.326996,established
129,molitrix,7140108,4,7,1998-7-4,37.107654,-89.328268,established
130,molitrix,7140106,17,7,1998-7-17,37.7789,-89.4522,established
131,molitrix,7140108,28,6,1998-6-28,37.10759,-89.328632,established
132,molitrix,7140105,16,7,1998-7-16,37.985204,-89.945755,established
133,molitrix,5140206,1,10,1998-10-1,37.1435,-88.7048,established
134,molitrix,7140105,11,11,1998-11-11,37.974244,-89.933739,established
135,molitrix,7140105,5,11,1998-11-5,37.748865,-89.656506,established
136,molitrix,5140206,10,8,1998-8-10,37.066656,-88.497071,established
137,molitrix,7140105,10,4,1999-4-10,37.1077,-89.3272,established
138,molitrix,8020201,18,12,1997-12-18,36.6002,-89.5168,established
139,molitrix,5140203,15,10,1998-10-15,37.3719,-88.487,unknown
140,molitrix,5140206,9,8,1999-8-9,37.3905,-88.9722,established
141,molitrix,7140105,15,4,2000-4-15,37.1077,-89.3272,established
142,molitrix,7140105,15,3,2001-3-15,37.598041,-89.473897,established
143,molitrix,7140105,14,4,2001-4-14,37.108,-89.3275,established
144,molitrix,5120112,19,9,2001-9-19,38.7083,-87.6692,established
145,molitrix,7140105,11,10,2000-10-11,37.7337,-89.621,established
146,molitrix,7140105,13,4,2002-4-13,37.108,-89.3275,established
147,molitrix,7140106,27,7,2002-7-27,37.7484,-89.3478,established
148,molitrix,7110004,10,6,2002-6-10,39.0453,-90.7058,established
149,molitrix,7110004,9,6,2002-6-9,39.0678,-90.6913,established
150,molitrix,7110004,9,6,2002-6-9,39.079355,-90.697548,established
151,molitrix,7110004,8,6,2002-6-8,39.0885,-90.6728,established
152,molitrix,7140105,5,4,2003-4-5,37.108,-89.3275,established
153,molitrix,5140206,10,9,2003-9-10,37.2418,-88.9594,established
154,molitrix,5120111,4,8,2003-8-4,39.2832,-87.61,established
155,molitrix,5120202,7,8,2003-8-7,39.026,-86.9673,established
156,molitrix,10190007,7,8,1980-8-7,40.851995,-105.026894,failed
157,molitrix,7140108,7,8,1999-8-7,37.1489,-89.355,established
158,molitrix,5120111,7,8,1999-8-7,38.989878,-87.580776,established
159,molitrix,7140105,7,8,1983-8-7,37.629731,-89.507332,established
160,molitrix,7130003,7,8,2000-8-7,40.566242,-89.660282,established
161,molitrix,7130011,7,8,2000-8-7,40.009735,-90.457306,established
162,molitrix,7130003,7,8,2000-8-7,40.566242,-89.660282,established
163,molitrix,7130003,7,8,2003-8-7,40.305582,-90.082569,established
164,molitrix,7130003,7,8,2000-8-7,40.026366,-90.425291,established
165,molitrix,7130003,27,8,2000-8-27,40.396111,-89.991245,established
166,molitrix,5120202,25,8,2004-8-25,38.49052,-87.5467,established
167,molitrix,8010100,19,10,2000-10-19,35.11696,-90.090122,established
168,molitrix,7130011,23,5,2001-5-23,38.967417,-90.49181,established
169,molitrix,10300103,29,10,2002-10-29,38.94135,-92.86924,established
170,molitrix,10290111,9,12,2003-12-9,38.568546,-91.98146,established
171,molitrix,10280103,24,10,2003-10-24,39.43629,-93.16546,established
172,molitrix,10300102,2,7,2003-7-2,38.553738,-92.095726,established
173,molitrix,10300102,27,7,2004-7-27,38.977726,-92.5691,established
174,molitrix,10300102,14,7,2003-7-14,38.705605,-92.37542,established
175,molitrix,10300102,15,7,2004-7-15,39.005154,-92.70429,established
176,molitrix,10300102,22,6,2004-6-22,38.618463,-91.908252,established
177,molitrix,10300103,25,8,2003-8-25,38.939317,-92.948799,established
178,molitrix,10300102,6,4,2004-4-6,38.685856,-91.82275,established
179,molitrix,10300102,29,12,2003-12-29,38.59012,-92.18127,established
180,molitrix,10300102,15,7,2004-7-15,38.97872,-92.76274,established
181,molitrix,10300101,2,6,2004-6-2,39.372094,-93.049736,established
182,molitrix,10280203,8,7,2004-7-8,39.26447,-92.85334,established
183,molitrix,10300102,28,6,2004-6-28,38.876685,-92.484648,established
184,molitrix,10300102,14,6,2004-6-14,38.68804,-92.31903,established
185,molitrix,10300102,14,6,2004-6-14,38.677525,-92.28886,established
186,molitrix,5140206,19,8,2003-8-19,37.06667,-88.49583,established
187,molitrix,5140206,2,8,2000-8-2,37.10083,-88.61,established
188,molitrix,5140206,31,7,2000-7-31,37.14333,-88.74917,established
189,molitrix,5140206,1,8,2000-8-1,37.195527,-88.832839,established
190,molitrix,5140206,22,8,2001-8-22,37.195527,-88.832839,established
191,molitrix,5140206,9,8,2000-8-9,37.1475,-89.08694,established
192,molitrix,5140206,8,9,2004-9-8,37.06972,-89.15639,established
193,molitrix,10230006,8,9,2005-9-8,41.45,-95.9333,established
194,molitrix,5140104,8,9,2002-9-8,37.991927,-86.02956,unknown
195,molitrix,6040006,17,8,2004-8-17,36.9719,-88.5161,established
196,molitrix,8010100,6,10,2005-10-6,35.076759,-90.124259,established
197,molitrix,5140206,2,8,2000-8-2,37.10083,-88.61,established
198,molitrix,5140206,31,7,2000-7-31,37.14333,-88.74917,established
199,molitrix,5140206,9,8,2000-8-9,37.1475,-89.08694,established
200,molitrix,5140206,1,8,2000-8-1,37.1964,-88.83278,established
201,molitrix,5140206,22,8,2001-8-22,37.1964,-88.83278,established
202,molitrix,5140206,19,8,2003-8-19,37.06667,-88.49583,established
203,molitrix,5140206,8,9,2004-9-8,37.06972,-89.15639,established
204,molitrix,5120113,22,9,2004-9-22,37.90927,-88.0181,established
205,molitrix,5120111,20,9,2004-9-20,38.6786,-87.53922,established
206,molitrix,5120111,20,9,2004-9-20,38.68359,-87.5305,established
207,molitrix,5120111,23,9,2004-9-23,38.85379,-87.53537,established
208,molitrix,5120111,21,10,2004-10-21,39.14089,-87.65435,established
209,molitrix,5120111,21,9,2004-9-21,39.27957,-87.6103,established
210,molitrix,5140203,22,9,2005-9-22,37.1617698669,-88.4214477539,established
211,molitrix,5140202,21,9,2005-9-21,37.794553,-87.992559,established
212,molitrix,8060100,7,4,2006-4-7,31.4193,-91.4597,established
213,molitrix,7130001,7,8,2004-8-7,41.314821,-89.109592,established
214,molitrix,7100009,7,8,1986-8-7,40.384474,-91.39183,established
215,molitrix,8030100,12,9,1988-9-12,33.370391,-91.113396,established
216,molitrix,10270104,9,6,2006-6-9,39.115012,-94.612713,established
217,molitrix,10240008,6,6,2006-6-6,39.9307,-95.5694,established
218,molitrix,10270104,23,6,2006-6-23,39.115012,-94.612713,established
219,molitrix,7130001,23,7,2006-7-23,41.322685,-88.98694,established
220,molitrix,10240011,28,6,2006-6-28,39.38513,-94.95947,established
221,molitrix,7130003,28,6,1998-6-28,40.363288,-90.038452,established
222,molitrix,7130003,28,6,2000-6-28,40.363288,-90.038452,established
223,molitrix,7130003,28,6,2001-6-28,40.363288,-90.038452,established
224,molitrix,7130003,28,6,2002-6-28,40.363288,-90.038452,established
225,molitrix,7130003,28,6,2003-6-28,40.363288,-90.038452,established
226,molitrix,7130003,28,6,2004-6-28,40.363288,-90.038452,established
227,molitrix,7130003,28,6,2005-6-28,40.363288,-90.038452,established
228,molitrix,7120005,1,8,2007-8-1,41.394711,-88.26416,established
229,molitrix,7120005,2,8,2007-8-2,41.36354,-88.38192,established
230,molitrix,7130003,23,8,2007-8-23,40.628611,-89.628954,established
231,molitrix,10280201,24,10,2007-10-24,40.821135,-92.886482,unknown
232,molitrix,7120004,23,10,2007-10-23,41.386082,-88.233776,established
233,molitrix,7120005,25,10,2007-10-25,41.363411,-88.385096,established
234,molitrix,8030209,19,12,2006-12-19,32.4534,-91.0144,established
235,molitrix,8090100,7,5,2008-5-7,29.9304,-90.3212,established
236,molitrix,7080101,18,7,2008-7-18,41.1830883,-91.005422,established
237,molitrix,10160011,29,7,2008-7-29,43.769606,-97.99427,unknown
238,molitrix,15010015,29,7,2006-7-29,36.06596,-115.113845,failed
239,molitrix,10240005,25,9,2008-9-25,39.93967,-95.27753,established
240,molitrix,10190004,25,3,1992-3-25,39.7894444,-105.10194,failed
241,molitrix,7040006,26,11,2008-11-26,43.772287,-91.238906,unknown
242,molitrix,7140107,27,6,2002-6-27,37.2427864,-89.527617,established
243,molitrix,7140107,24,9,2002-9-24,37.2427864,-89.527617,established
244,molitrix,7140107,5,10,2005-10-5,37.2427864,-89.527617,established
245,molitrix,7140107,3,10,2007-10-3,37.2427864,-89.527617,established
246,molitrix,5120111,16,7,2008-7-16,39.149632,-87.341309,established
247,molitrix,10240011,17,10,1993-10-17,39.399091,-94.947646,established
248,molitrix,10270104,18,8,2006-8-18,38.932026,-95.330451,established
249,molitrix,10270104,24,7,2006-7-24,39.084295,-94.654371,established
250,molitrix,10270104,1,6,2007-6-1,38.932026,-95.330451,established
251,molitrix,10280101,8,6,2009-6-8,40.083457,-94.261065,unknown
252,molitrix,7120005,21,7,2009-7-21,41.31864,-88.6917,established
253,molitrix,8080103,28,7,2009-7-28,29.746978,-91.861796,unknown
254,molitrix,8090301,20,8,2009-8-20,29.764,-90.2963,unknown
255,molitrix,7120004,26,8,2009-8-26,41.554999,-88.077221,unknown
256,molitrix,10300102,19,9,2009-9-19,38.6444246,-92.231913,established
257,molitrix,7140105,19,9,2000-9-19,37.317581,-89.508212,established
258,molitrix,7110009,19,9,1998-9-19,38.924895,-90.254745,established
259,molitrix,7130003,19,9,1998-9-19,40.363288,-90.038452,established
260,molitrix,7110001,19,9,2000-9-19,40.15762,-91.50787,established
261,molitrix,5120206,11,11,2009-11-11,38.824196,-86.151352,established
262,molitrix,6040005,11,11,2010-11-11,36.025501,-87.99448,established
263,molitrix,5120108,11,11,2008-11-11,40.407745,-87.000046,established
264,molitrix,5120108,11,11,2008-11-11,40.411928,-86.902542,established
265,molitrix,5120108,11,11,2008-11-11,40.513864,-86.791048,established
266,molitrix,5120105,11,11,2008-11-11,40.585017,-86.698265,established
267,molitrix,5120106,11,11,2008-11-11,40.654532,-86.755342,established
268,molitrix,5120101,11,11,2008-11-11,40.737763,-86.212978,established
269,molitrix,5120101,11,11,2008-11-11,40.747062,-86.1238,established
270,molitrix,5120101,11,11,2008-11-11,40.760261,-85.959778,established
271,molitrix,5120208,11,11,2008-11-11,38.800888,-86.645608,established
272,molitrix,5120208,5,9,2010-9-5,38.776837,-86.604195,established
273,molitrix,8080202,5,8,2010-8-5,29.644274,-92.34498,unknown
274,molitrix,5120202,4,8,2005-8-4,39.468204,-86.434593,established
275,molitrix,8020100,20,9,2010-9-20,34.6403792,-90.5034,established
276,molitrix,7140102,20,12,2010-12-20,38.4272,-90.6831,established
277,molitrix,7130003,7,5,2007-5-7,40.363288,-90.038452,established
278,molitrix,7060001,16,2,2011-2-16,43.34865,-91.143951,unknown
279,molitrix,5130205,31,1,2011-1-31,36.394896,-87.65842,established
280,molitrix,5120202,25,4,2011-4-25,38.988102,-87.189217,established
281,molitrix,5120208,31,5,2011-5-31,39.005979,-86.510124,established
282,molitrix,8090202,10,6,2011-6-10,30.1914,-90.08632,unknown
283,molitrix,7130006,12,7,2011-7-12,39.82851,-88.95939,established
284,molitrix,8080103,22,6,2011-6-22,29.78703,-91.98646,unknown
285,molitrix,10300101,22,6,2011-6-22,39.01805,-94.33641,established
286,molitrix,8080101,22,7,2011-7-22,29.94872,-91.41241,unknown
287,molitrix,8050001,22,7,2010-7-22,32.61736,-91.66568,unknown
288,molitrix,8050001,22,7,2009-7-22,31.912245,-91.764679,unknown
289,molitrix,8030100,22,7,2011-7-22,32.82985,-91.215943,unknown
290,molitrix,8080101,22,7,2011-7-22,30.35361,-91.73763,unknown
291,molitrix,10240011,22,9,2010-9-22,39.63661,-95.17187,established
292,molitrix,10240011,22,9,2010-9-22,39.6463,-95.17192,established
293,molitrix,10240011,22,9,2010-9-22,39.65059,-95.17144,established
294,molitrix,10240011,22,9,2010-9-22,39.58451,-95.10119,established
295,molitrix,10240011,22,9,2010-9-22,39.5945,-95.09561,established
296,molitrix,10240011,22,9,2010-9-22,39.51002,-95.08548,established
297,molitrix,10240011,22,9,2010-9-22,39.49904,-95.07906,established
298,molitrix,10240011,22,9,2010-9-22,39.49677,-95.0771,established
299,molitrix,10240011,22,9,2010-9-22,39.48166,-95.06326,established
300,molitrix,10240011,0,9,2010-9,39.45594,-95.03252,established
301,molitrix,10240008,0,9,2010-9,39.92418,-95.65822,established
302,molitrix,10240008,0,9,2010-9,39.92786,-95.66912,established
303,molitrix,10240008,0,9,2010-9,39.89952,-95.72817,established
304,molitrix,10240005,0,9,2010-9,39.99217,-95.31451,established
305,molitrix,10240005,0,9,2010-9,39.97907,-95.29464,established
306,molitrix,10240005,0,9,2010-9,39.94781,-95.2571,established
307,molitrix,10240005,0,9,2010-9,39.94202,-95.25358,established
308,molitrix,10240005,22,7,2010-7-22,39.91316,-95.20955,established
309,molitrix,10240005,22,9,2010-9-22,39.90029,-95.20874,established
310,molitrix,10240005,22,9,2010-9-22,39.87964,-95.1944,established
311,molitrix,10240005,22,9,2010-9-22,39.88382,-95.1975,established
312,molitrix,10270104,22,9,2010-9-22,38.97426,-95.23492,established
313,molitrix,10270104,22,9,2010-9-22,38.98001,-95.16273,established
314,molitrix,10240008,27,7,2011-7-27,39.90455,-95.97573,established
315,molitrix,10300101,1,8,2011-8-1,38.78172,-94.70807,established
316,molitrix,10300101,1,8,2011-8-1,38.83805,-94.62403,established
317,molitrix,7140106,6,5,2011-5-6,37.71356,-89.14946,established
318,molitrix,7140105,14,7,2011-7-14,37.05249,-89.37849,established
319,molitrix,8020100,11,5,1995-5-11,33.77828,-91.1043,established
320,molitrix,10230003,28,9,2011-9-28,43.08253,-94.92255,unknown
321,molitrix,8080101,11,10,2011-10-11,29.93788,-91.4967,unknown
322,molitrix,10160003,7,10,2011-10-7,46.3544,-98.30652,unknown
323,molitrix,10160001,12,10,2011-10-12,46.92897,-98.70724,unknown
324,molitrix,5120115,14,11,2011-11-14,38.16185,-88.53859,unknown
325,molitrix,5140201,13,8,2008-8-13,37.8253,-87.05778,unknown
326,molitrix,5140201,8,8,2007-8-8,37.8177,-87.05035,unknown
327,molitrix,5140201,8,8,2007-8-8,37.7823,-87.083,unknown
328,molitrix,5140202,13,7,2010-7-13,37.9662,-87.58456,established
329,molitrix,5140202,14,7,2010-7-14,37.9457,-87.60308,established
330,molitrix,5140202,21,7,2010-7-21,37.89221,-87.59408,established
331,molitrix,5140202,12,7,2010-7-12,37.8683,-87.57789,established
332,molitrix,5140202,12,7,2010-7-12,37.86334,-87.58643,established
333,molitrix,5140202,12,7,2010-7-12,37.85825,-87.58926,established
334,molitrix,5140202,29,6,2010-6-29,37.90359,-87.68034,established
335,molitrix,5140202,20,7,2010-7-20,37.89185,-87.84843,established
336,molitrix,5140202,22,7,2010-7-22,37.81874,-87.90745,established
337,molitrix,5140202,29,7,2008-7-29,37.70956,-88.11192,established
338,molitrix,5140203,23,8,2008-8-23,37.48331,-88.06276,established
339,molitrix,5140203,16,8,2011-8-16,37.41556,-88.34556,established
340,molitrix,5140203,14,10,2008-10-14,37.24709,-88.48264,established
341,molitrix,5140203,6,7,2009-7-6,37.15898,-88.41972,established
342,molitrix,5140206,6,7,2009-7-6,37.05815,-88.48572,established
343,molitrix,5140206,7,7,2009-7-7,37.2157,-88.88761,established
344,molitrix,5140206,25,8,2009-8-25,37.09117,-89.1322,established
345,molitrix,5140206,15,8,2007-8-15,37.06972,-89.15639,established
346,molitrix,5140206,17,8,2011-8-17,37.06972,-89.15639,established
347,molitrix,5140206,25,8,2009-8-25,37.06972,-89.15639,established
348,molitrix,5140206,8,7,2009-7-8,37.02954,-89.18209,established
349,molitrix,5140202,24,8,2008-8-24,37.79756,-88.03,established
350,molitrix,5140206,9,9,2008-9-9,37.21627,-88.90517,established
351,molitrix,7130011,10,10,2006-10-10,39.06472,-90.58056,established
352,molitrix,7130011,4,10,2006-10-4,39.76718,-90.60648,established
353,molitrix,7130003,5,10,2006-10-5,40.00014,-90.4925,established
354,molitrix,7130003,28,9,2006-9-28,40.40624,-89.97451,established
355,molitrix,7130003,26,9,2006-9-26,40.60053,-89.65822,established
356,molitrix,7130003,21,9,2006-9-21,40.65564,-89.61634,established
357,molitrix,7130001,27,9,2006-9-27,40.87368,-89.50235,established
358,molitrix,7130001,20,9,2006-9-20,41.03832,-89.41412,established
359,molitrix,7130001,26,9,2006-9-26,41.18356,-89.32554,established
360,molitrix,7130001,25,9,2006-9-25,41.31882,-89.27628,established
361,molitrix,7130001,11,9,2006-9-11,41.32256,-89.02634,established
362,molitrix,5120111,15,7,2009-7-15,38.65632,-87.60265,established
363,molitrix,5120111,26,8,2009-8-26,38.65632,-87.60265,established
364,molitrix,5120202,27,8,2009-8-27,38.46798,-87.58956,established
365,molitrix,5120202,14,7,2009-7-14,38.51951,-87.38185,established
366,molitrix,7040003,1,3,2012-3-1,44.05503,-91.63216,unknown
367,molitrix,7040003,1,3,2012-3-1,44.05503,-91.63216,unknown
368,molitrix,7140105,21,8,2009-8-21,37.44602,-89.45379,established
369,molitrix,7140105,30,9,2005-9-30,37.05249,-89.37849,established
370,molitrix,7140105,14,9,2007-9-14,37.09647,-89.38638,established
371,molitrix,10230003,28,3,2012-3-28,43.40954,-95.07603,unknown
372,molitrix,10230003,4,4,2012-4-4,43.40954,-95.07603,unknown
373,molitrix,10230003,3,4,2012-4-3,43.4771835,-95.09805,unknown
374,molitrix,3180004,18,4,2012-4-18,30.39358,-89.73455,unknown
375,molitrix,7140106,18,4,2012-4-18,38.1014,-89.00565,unknown
376,molitrix,11140209,30,4,2012-4-30,31.94125,-93.00964,established
377,molitrix,8090301,6,4,2012-4-6,29.91626,-90.59927,established
378,molitrix,8070202,4,6,2012-6-4,30.2874,-90.8281,unknown
379,molitrix,8090201,11,6,2012-6-11,30.3129,-89.93128,unknown
380,molitrix,7060003,14,6,2012-6-14,42.91168,-91.15116,unknown
381,molitrix,8080202,14,6,2012-6-14,29.84943,-92.23057,unknown
382,molitrix,7060003,25,6,2012-6-25,42.79388,-91.07357,unknown
383,molitrix,6030006,17,7,2012-7-17,34.86678,-88.10554,established
384,molitrix,5090202,12,6,2012-6-12,39.07371,-84.43076,unknown
385,molitrix,3180004,30,7,2012-7-30,30.3457,-89.6505,unknown
386,molitrix,3180004,30,7,2012-7-30,30.35125,-89.66191,unknown
387,molitrix,5090201,14,8,2012-8-14,38.81761,-84.22686,unknown
388,molitrix,5120111,14,8,2012-8-14,39.33758,-87.72274,established
389,molitrix,5120109,15,8,2012-8-15,40.12263,-87.64251,unknown
390,molitrix,7130010,15,8,2012-8-15,39.98727,-90.51401,established
391,molitrix,5120109,15,8,2011-8-15,40.12368,-87.63873,unknown
392,molitrix,5110001,15,9,2011-9-15,37.24524,-85.34171,unknown
393,molitrix,10300102,23,10,2012-10-23,39.15745,-92.31607,unknown
394,molitrix,5090203,4,9,2012-9-4,39.11241,-84.81951,unknown
